Academic Year,University,Source of Salary Funding,Staff Grade,Mode of Employment,Staff No. (Headcount)
2022/23,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,8
2022/23,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,112
2022/23,The Education University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,1
2022/23,The Education University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,6
2022/23,The Education University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,15
2022/23,The Education University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,1
2022/23,The Education University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,11
2022/23,The Education University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,1
2022/23,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,58
2022/23,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,15
2022/23,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,63
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,154
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,165
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,108
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,156
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,12
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,10
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,136
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Part-time,3
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,132
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,9
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,2
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,88
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,28
2022/23,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,123
2022/23,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,17
2022/23,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,51
2022/23,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,28
2022/23,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,103
2022/23,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,3
2022/23,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,9
2022/23,The Education University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,1
2022/23,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,48
2022/23,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,31
2022/23,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,43
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,14
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Part-time,1
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Short-term,1
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,39
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,3
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,8
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Full-time,24
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Part-time,1
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Short-term,6
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,Senior Academic Staff,Full-time,18
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,Senior Academic Staff,Part-time,4
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Full-time,178
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Part-time,42
2022/23,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Short-term,223
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,357
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,18
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,93
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,582
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,16
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,27
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,490
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Part-time,13
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Short-term,151
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,462
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,55
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Short-term,6
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Full-time,458
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Part-time,69
2022/23,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Short-term,527
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Full-time,19
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Part-time,13
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Short-term,50
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,191
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,16
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,27
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Full-time,20
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Part-time,7
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Short-term,94
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Full-time,15
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Part-time,39
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Short-term,1
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Full-time,512
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Part-time,76
2022/23,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Short-term,463
2022/23,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Academic Supporting Staff,Full-time,7
2022/23,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Academic Supporting Staff,Short-term,2
2022/23,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,26
2022/23,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,2
2022/23,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,1
2022/23,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Junior Academic Staff,Full-time,13
2022/23,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Junior Academic Staff,Short-term,1
2022/23,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Senior Academic Staff,Full-time,17
2022/23,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Senior Academic Staff,Part-time,2
2022/23,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Senior Academic Staff,Short-term,2
2022/23,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Full-time,225
2022/23,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Part-time,50
2022/23,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Short-term,108
2022/23,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,276
2022/23,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,22
2022/23,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,16
2022/23,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,513
